"event_id","user_id","event_datetime","event_type","revenue"
1,1,"06/01/2025 16:12",registration,0.00
2,1,"07.01.2025 13:38",login,0.00
3,1,"14.02.2025 22:38",login,0.00
4,1,"01.03.2025 12:07",play_video,0.00
5,1,"12.03.2025 04:25",view_content,0.00
6,1,"18-3-2025 21:49",view_content,0.00
7,1,"14.04.2025 04:20",login,0.00
8,1,"18/04/2025 09:00",login,0.00
9,1,"28-5-2025 21:59",view_content,0.00
10,1,"25.5.25 06:50",cancel,0.00
11,1,"06.07.2025 20:31",login,0.00
12,2,"29.1.25 04:13",registration,0.00
13,2,"19-2-2025 21:23",view_content,0.00
14,2,"17/03/2025 05:23",play_video,0.00
15,2,"26.03.2025 17:43",view_content,0.00
16,2,"15/05/2025 15:26",play_video,0.00
17,2,"22/6/2025 02:42",login,0.00
18,2,"30.5.25 06:37",cancel,0.00
19,2,"30.06.2025 07:05",play_video,0.00
20,2,"14.06.2025 18:13",login,0.00
21,3,"12/06/2025 6:48",registration,0.00
22,3,"13.6.25 17:00",view_content,0.00
23,3,"5-8-2025 3:27",view_content,0.00
24,3,"06/08/2025 4:40",login,0.00
25,3,"26/8/2025 19:18",view_content,0.00
26,3,"14/9/2025 20:31",view_content,0.00
27,4,"15/4/2025 01:33",registration,0.00
28,4,"23.6.25 18:29",play_video,0.00
29,5,"01.01.2025 05:00",registration,0.00
30,5,"25/1/2025 06:36",view_content,0.00
31,5,"13.2.25 22:22",support_request,0.00
32,5,"2-2-2025 6:20",login,0.00
33,6,"6.4.25 22:04",registration,0.00
34,6,"04/05/2025 7:12",login,0.00
35,6,"22.5.25 22:31",login,0.00
36,6,"27-8-2025 19:48",login,0.00
37,6,"9.8.25 10:43",view_content,0.00
38,6,"24.9.25 05:38",login,0.00
39,6,"4/9/2025 8:44",view_content,0.00
40,7,"23/1/2025 08:53",registration,0.00
41,7,"8.4.25 17:10",play_video,0.00
42,7,"3/4/2025 3:27",play_video,0.00
43,7,"27.04.2025 11:53",login,0.00
